3251|Minecraft|13|23.95|3251.jpg|Minecraft est un jeu vidéo de type « bac à sable » (construction complètement libre - sandbox en anglais) développé par le Suédois Markus Persson, alias Notch, puis par le studio de développement Mojang. Ce jeu vidéo plonge le joueur dans un univers généré aléatoirement et composé de voxels. Le jeu intègre un système d'artisanat axé sur l'exploitation de ressources naturelles (minéralogiques, fossiles, animales et végétales), puis sur leur transformation en produits artisanaux.
62|Counter-Strike: Global Offensive|1|12.49|62.jpg|Counter-Strike: Global Offensive (abrégé CS:GO) est un jeu de tir à la première personne multijoueur en ligne basé sur le jeu d'équipe développé par Valve Corporation.
233|Rayman Legends|4|19.99|233.jpg|Rayman Legends est un jeu vidéo de plates-formes développé par Ubisoft Montpellier et édité par Ubisoft. Il est le cinquième épisode dans la série principale de Rayman, et la suite de Rayman Origins.
183|Arma 3|1|34.99|183.jpg|Découvrez le gameplay de combat dans un sandbox militaire massif. Avec un contenu solo et multijoueur variés, + de 20 véhicules et 40 armes, des opportunités sans limites de création de contenu, voici le premier jeu militaire pour PC. Authentique, varié, ouvert - Arma 3™ vous fait vivre la guerre.
2208|Overwatch|1|39.99|2208.jpg|Dans une période de crise mondiale, des héros venus de tous les horizons ont composé une équipe d’intervention internationale pour ramener la paix dans un monde déchiré par la guerre : OVERWATCH.
3157|Soulcalibur VI|2|59.99|3157.jpg|Vos poings ne vous suffiront pas pour gagner! Proposant de nouveaux personnages et systèmes de combats, SOULCALIBUR VI marque le début d'un nouveau chapitre de la franchise historique. Remontez sur la scène de l’histoire!
411|Mortal Kombat X|2|19.99|411.jpg|Découvrez le nouvel opus de la série de jeux de combat. Mortal Kombat X combine une mise en scène cinématique et un nouveau gameplay.
518|Naruto: Ultimate Ninja Storm Revolution|2|29.99|518.jpg|LA RÉVOLUTION DE LA SÉRIE STORM CONTINUE ! Vivez une nouvelle expérience dans l'univers de NARUTO. Des tonnes de nouvelles techniques, des mécaniques améliorées, 100 personnages jouables et ninjas de soutien, et un tout nouveau personnage exclusif (Mecha-Naruto) conçu par Masashi
1437|Sid Meier’s Civilization VI|3|59.99|1437.jpg|Conçu à l'origine par le développeur de légende Sid Meier, Civilization est un jeu de stratégie au tour par tour qui vous met au défi de bâtir un empire capable de résister au passage du temps. Guidez votre civilisation de l'âge de la pierre jusqu'à l'âge de l'information pour régner en maître sur la planète. Pour édifier la plus illustre de toutes les civilisations, vous partirez en guerre, conduirez des négociations et ferez progresser votre culture, tout en vous efforçant de tenir tête aux plus grands dirigeants de l'histoire.
825|Age of Empires III|36.99|825.jpg|Plongez au cœur d’une expérience stratégique gagnante. Microsoft Game Studios présente pour la première fois les trois jeux épiques Age of Empires III au sein d'une collection impressionnante. Dirigez les puissances européennes pour leur faire explorer de nouvelles terres dans le Nouveau monde, ou partez à la conquête de l’est, en Asie, pour déterminer l’issue des batailles pour le pouvoir
2310|Cuphead|4|19.99|2310.jpg|Cuphead, c'est un jeu de plates-formes/action dans la pure veine « run and gun », avec un goût prononcé pour les combats de boss épiques. Inspirés des cartoons américains des années 30, la bande-son et les graphismes ont été créés en respectant scrupuleusement les techniques de l'époque : animation traditionnelle dessinée à la main sur celluloïds, arrière-plans en aquarelle, compositions jazz originales...
863|Rayman Origins|4|9.99|863.jpg|Quand la Clairière des Rêves est envahie de Lums Noirs malfaisants, le Conseil des Fées invoque alors Rayman pour la sauver. Mais le héros de la lumière n’est pas tout à fait celui que le Conseil attendait... Pour l'aider, Rayman fait équipe avec son meilleur ami Globox et de deux magiciens habiles, les Teensies. Ensemble, l'équipe de héros la plus loufoque du monde devra rétablir le climat paisible dans la Clairière ou ils seront témoins de la disparition de leur univers tant aimé à jamais…
854|Sid Meier's Civilization V|3|44.99|854.jpg|Établissez votre suprématie totale sur le monde en constituant une civilisation depuis ses premiers pas vers la conquête spatiale : participer aux guerres, user de diplomatie, découvrir de nouvelles technologies, affronter ou suivre les plus grands dirigeants de l'histoire et construire l'empire le plus prospère et le plus puissant que le monde ait jamais connu.
475|Ori and the Blind Forest Definitive Edition|4|19.99|475.jpg|La forêt de Nibel se meurt. À la suite d'une terrible tempête ayant déclenché une série d'événements tragiques, Ori doit partir à l'aventure pour trouver le courage d'affronter un sinistre ennemi et sauver sa terre natale. "Ori and the Blind Forest" relate l'histoire d'une jeune créature orpheline à la destinée héroïque, au travers d'un jeu de plateforme et d'action aux graphismes époustouflants, développé par Moon Studios. Dans la Definitive Edition enrichie d'une myriade de nouvelles fonctionnalités, découvrez un univers dessiné à la main dans lequel évoluent des personnages aux animations extrêmement soignées, sur une bande originale entièrement interprétée par un orchestre. "Ori and the Blind Forest" est une ode à l'amour, au sacrifice et à l'espoir qui brûle telle une flamme en chacun de nous.
2476|Crash Bandicoot: N. Sane Trilogy|Cat|39.99|2476.jpg|Votre marsupial préféré, Crash Bandicoot, est de retour ! Il est amélioré, enthousiasmé et prêt à danser dans la compilation N. Sane Trilogy ! Redécouvrez Crash Bandicoot comme jamais auparavant. Tournez, sautez, tapez et recommencez pour surmonter des défis épiques et vivre des aventures extraordinaires dans les trois jeux à l'origine de tout : Crash Bandicoot, Crash Bandicoot 2: Cortex Strikes Back et Crash Bandicoot 3: Warped. Retrouvez Crash remasterisé en HD et préparez-vous, ça va WUMPER !

948|BattleBlock Theater|4|14.99|948.jpeg|BattleBlock Theater1 est un jeu de plates-formes comique développé par The Behemoth et publié par Microsoft Studios pour la Xbox 360, Windows, et Linux. C'est le troisième titre venant de The Behemoth après Alien Hominid et Castle Crashers.

13456|Castle Crashers|4|11.99|13456.jpg|Sortez votre épée et frayez-vous un chemin vers la victoire dans ce jeu d'arcade aventure en 2D primé et signé The Behemoth !

904|Ark: Survival Evolved|5|54.99|904.jpg|En tant qu'homme ou femme échoué nu, en train de gelé et de mourir de faim sur une île mystérieuse, vous devez chasser, récolter, fabriquer des objets, faire pousser des plantes et construire des abris pour survivre. Utilisez vos compétences et votre ruse pour tuer, apprivoiser, faire accoupler et chevaucher des dinosaures et des créatures primitives vivant sur l'Arche, en faisant équipe avec des centaines de joueurs pour survivre, dominer et ... s'échapper !

